level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,36,92,60,24,96,This
5,1,1,1,1,2,109,92,20,24,96,is
5,1,1,1,1,3,141,98,15,18,95,a
5,1,1,1,1,4,169,92,32,24,95,lot
5,1,1,1,1,5,212,92,28,24,96,of
5,1,1,1,1,6,251,92,31,24,96,12
5,1,1,1,1,7,296,92,68,30,95,point
5,1,1,1,1,8,374,93,53,23,95,text
5,1,1,1,1,9,437,93,26,23,96,to
5,1,1,1,1,10,474,93,52,23,96,test
5,1,1,1,1,11,536,92,44,24,96,the
5,1,1,1,2,1,36,132,45,18,95,ocr
5,1,1,1,2,2,91,126,69,24,95,code
5,1,1,1,2,3,172,126,51,24,96,and
5,1,1,1,2,4,236,132,50,18,96,see
5,1,1,1,2,5,299,126,15,24,94,if
5,1,1,1,2,6,325,126,14,24,94,it
5,1,1,1,2,7,348,126,85,24,96,works
5,1,1,1,2,8,445,132,33,18,94,on
5,1,1,1,2,9,500,126,29,24,94,all
5,1,1,1,2,10,541,127,77,30,96,types
5,1,1,1,3,1,36,160,28,24,95,of
5,1,1,1,3,2,72,160,41,24,95,file
5,1,1,1,3,3,123,160,100,24,95,format.
5,1,1,2,1,1,36,194,55,24,96,The
5,1,1,2,1,2,102,194,75,30,96,quick
5,1,1,2,1,3,189,194,85,24,96,brown
5,1,1,2,1,4,287,194,52,31,96,dog
5,1,1,2,1,5,348,194,108,31,96,jumped
5,1,1,2,1,6,468,200,63,18,96,over
5,1,1,2,1,7,540,194,45,24,96,the
5,1,1,2,2,1,37,228,55,31,96,lazy
5,1,1,2,2,2,103,228,50,24,96,fox.
5,1,1,2,2,3,165,228,55,24,96,The
5,1,1,2,2,4,232,228,75,30,96,quick
5,1,1,2,2,5,319,228,85,24,96,brown
5,1,1,2,2,6,417,228,51,31,96,dog
5,1,1,2,2,7,478,228,107,31,96,jumped
5,1,1,2,3,1,36,268,63,18,96,over
5,1,1,2,3,2,109,262,44,24,95,the
5,1,1,2,3,3,165,262,56,31,96,lazy
5,1,1,2,3,4,231,262,50,24,96,fox.
5,1,1,2,3,5,294,262,55,24,96,The
5,1,1,2,3,6,360,262,75,30,96,quick
5,1,1,2,3,7,447,262,85,24,96,brown
5,1,1,2,3,8,545,262,52,31,96,dog
5,1,1,2,4,1,43,296,107,31,96,jumped
5,1,1,2,4,2,162,302,64,18,96,over
5,1,1,2,4,3,235,296,44,24,96,the
5,1,1,2,4,4,292,296,55,31,95,lazy
5,1,1,2,4,5,357,296,50,24,96,fox.
5,1,1,2,4,6,420,296,55,24,96,The
5,1,1,2,4,7,486,296,75,30,96,quick
5,1,1,2,5,1,37,330,85,24,96,brown
5,1,1,2,5,2,135,330,52,31,96,dog
5,1,1,2,5,3,196,330,108,31,96,jumped
5,1,1,2,5,4,316,336,63,18,96,over
5,1,1,2,5,5,388,330,45,24,96,the
5,1,1,2,5,6,445,330,55,31,96,lazy
5,1,1,2,5,7,511,330,50,24,96,fox.
